"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 021D","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572915712字节, 比例：1.40%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 020E","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572931072字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 0233","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572531712字节, 比例：1.40%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 4C7C","(2012-12-6)AAL1结构化24",""," 数量：533861376字节, 比例：1.31%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 01F3","(2012-12-6)AAL1结构化24",""," 数量：632193024字节, 比例：1.55%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 0200","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：587547648字节, 比例：1.44%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 0218","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572992512字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 020D","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：586094592字节, 比例：1.44%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 0229","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572955648字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 022C","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572961792字节, 比例：1.41%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 0234","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572903424字节, 比例：1.40%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 021E","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：586447872字节, 比例：1.44%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 0232","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572921856字节, 比例：1.40%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 022B","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：586263552字节, 比例：1.44%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 3534989046字节, 比例: 28.04%","AAL1数量: 1699083136字节, 比例: 48.06%","0000: 021C","(2012-12-6)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：572878848字节, 比例：1.40%","",""
